id_pintu_air,kode_stasiun,nama_pintu_air,lokasi,sort_number,siaga1,siaga2,siaga3,siaga4,latitude,longitude,file_export,record_status,created_date,created_by,last_updated_date,last_updated_by,tanggal,tinggi_air,tinggi_air_sebelumnya,status_siaga,tma_unaltered
155,28,Bendung. Cibalok - Gadog (Baru),Ciliwung,1,2100,1600,900,1,-6.653375,106.869567,Bogor,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:06:54.38+07:00,1,2025-10-09T22:00:00+07:00,0,5,Status : Normal,1
151,27,Bendung Katulampa (Hulu),Ciliwung,2,2000,1500,800,1,-6.633167,106.836806,Bogor,1,undefined,1,2023-01-17T12:10:56.07+07:00,1,2025-10-09T22:00:00+07:00,200,161,Status : Normal,205
156,29,P.S. Depok (Baru),Ciliwung,3,3500,2700,2000,0,-6.400601,106.831833,Depok,1,2023-11-23T00:00:00+07:00,1,2025-06-23T08:20:00.947+07:00,27,2025-10-09T22:00:00+07:00,820,829,Status : Normal,822
176,46,Kampung Rambutan (Baru),Cipinang,4,3000,2500,2000,1,-6.308509,106.880899,Jakarta Timur,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:47:57.62+07:00,1,2025-10-09T22:00:00+07:00,850,843,Status : Normal,856
157,31,P.A. Manggarai (Baru),Ciliwung,5,9500,8500,7500,0,-6.207548,106.848585,Jakarta Selatan,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:25:20.013+07:00,1,2025-10-09T22:00:00+07:00,5400,5398,Status : Normal,5406
159,33,P.S. Krukut Hulu (Baru),Krukut,6,3000,2500,1500,1,-6.344328,106.799147,Jakarta Selatan,1,2023-11-23T00:00:00+07:00,1,2025-06-23T08:18:10.677+07:00,27,2025-10-09T22:00:00+07:00,460,472,Status : Normal,468
165,39,Pompa Cideng (Baru),Cideng Siantar,7,3000,2500,1500,1,-6.173587,106.806736,Jakarta Pusat,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:28:35.107+07:00,1,2025-10-09T22:00:00+07:00,470,470,Status : Normal,475
163,37,P.A. Karet (Baru),Banjir Kanal Barat,8,6000,5500,4500,1,-6.198023,106.810169,Jakarta Selatan,1,2023-11-23T00:00:00+07:00,1,2025-06-23T08:18:40.817+07:00,27,2025-10-09T22:04:00+07:00,2550,2551,Status : Normal,2557
140,15,P.A. Marina Ancol ,Laut,9,2500,2000,1700,1,-6.125585,106.830154,Jakarta Utara,1,2013-11-24T21:19:59.05+07:00,undefined,2018-05-21T21:15:41.16+07:00,1,2025-10-09T22:00:00+07:00,1810,1920,Status : Siaga 3,1810
166,40,P.A. Marina Ancol (Baru),Kali,10,2500,2000,1700,1,-6.12648,106.830006,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2024-02-05T12:29:06.893+07:00,1,2025-10-09T22:00:00+07:00,1580,1589,Status : Normal,1584
